x,y,z,d
6,7,10,111.0205348
6,8,0,95.83566048
6,8,1,102.0657864
6,8,2,107.3336342
6,8,3,111.3352643
6,8,4,113.8348882
6,8,5,114.6847968
6,8,6,113.8348882
6,8,7,111.3352643
6,8,8,107.3336342
6,8,9,102.0657864
6,8,10,95.83566048
6,9,0,83.10561031
6,9,1,87.88649861
6,9,2,91.90429618
6,9,3,94.94458591
6,9,4,96.83966675
6,9,5,97.48343592
6,9,6,96.83966675
6,9,7,94.94458591
6,9,8,91.90429618
6,9,9,87.88649861
6,9,10,83.10561031
6,10,0,72.44839661
6,10,1,76.14668507
6,10,2,79.23588816
6,10,3,81.56387222
6,10,4,83.01134398
6,10,5,83.50249042
6,10,6,83.01134398
6,10,7,81.56387222
6,10,8,79.23588816
6,10,9,76.14668507
6,10,10,72.44839661
7,0,0,190.6197129
7,0,1,212.3693441
7,0,2,231.0734679
7,0,3,245.2762678
7,0,4,254.0791419
7,0,5,257.0531622
7,0,6,254.0791419
7,0,7,245.2762678
7,0,8,231.0734679
7,0,9,212.3693441
7,0,10,190.6197129
7,1,0,186.9196842
7,1,1,207.9202305
7,1,2,225.9813591
7,1,3,239.7066572
7,1,4,248.2214548
7,1,5,251.0998468
7,1,6,248.2214548
7,1,7,239.7066572
7,1,8,225.9813591
7,1,9,207.9202305
7,1,10,186.9196842
7,2,0,176.7092759
7,2,1,195.6996992
7,2,2,212.0309828
7,2,3,224.4652533
7,2,4,232.197236
7,2,5,234.8149664
7,2,6,232.197236
7,2,7,224.4652533
7,2,8,212.0309828
7,2,9,195.6996992
7,2,10,176.7092759
7,3,0,162.147004
7,3,1,178.4178879
7,3,2,192.399668
7,3,3,203.0661622
7,3,4,209.7172542
7,3,5,211.973212
7,3,6,209.7172542
7,3,7,203.0661622
7,3,8,192.399668
7,3,9,178.4178879
7,3,10,162.147004
7,4,0,145.6236575
7,4,1,159.0243423
7,4,2,170.5174599
7,4,3,179.2951404
7,4,4,184.780622
7,4,5,186.6441978
7,4,6,184.780622
7,4,7,179.2951404
7,4,8,170.5174599
7,4,9,159.0243423
7,4,10,145.6236575
7,5,0,129.0078771
7,5,1,139.7616811
7,5,2,148.954998
7,5,3,155.9746007
7,5,4,160.3663421
7,5,5,161.8598286
7,5,6,160.3663421
7,5,7,155.9746007
7,5,8,148.954998
7,5,9,139.7616811
7,5,10,129.0078771
7,6,0,113.4369792
7,6,1,121.9372652
7,6,2,129.1726074
7,6,3,134.6884293
7,6,4,138.1391212
7,6,5,139.3129476
7,6,6,138.1391212
7,6,7,134.6884293
7,6,8,129.1726074
7,6,9,121.9372652
7,6,10,113.4369792
7,7,0,99.44541383
7,7,1,106.1163861
7,7,2,111.7656126
7,7,3,116.0607854
7,7,4,118.7449585
7,7,5,119.6577699
7,7,6,118.7449585
7,7,7,116.0607854
7,7,8,111.7656126
7,7,9,106.1163861
7,7,10,99.44541383
7,8,0,87.17919614
7,8,1,92.40569672
7,8,2,96.80715173
7,8,3,100.1422862
7,8,4,102.2227724
7,8,5,102.9297692
7,8,6,102.2227724
7,8,7,100.1422862
7,8,8,96.80715173
7,8,9,92.40569672
7,8,10,87.17919614
7,9,0,76.57341303
7,9,1,80.67625511
7,9,2,84.11180751
7,9,3,86.70519806
7,9,4,88.31937556
7,9,5,88.86735613
7,9,6,88.31937556
7,9,7,86.70519806
7,9,8,84.11180751
7,9,9,80.67625511
7,9,10,76.57341303
7,10,0,67.46746845
7,10,1,70.70216454
7,10,2,73.39562011
7,10,3,75.42086186
7,10,4,76.67834157
7,10,5,77.104737
7,10,6,76.67834157
7,10,7,75.42086186
7,10,8,73.39562011
7,10,9,70.70216454
7,10,10,67.46746845
8,0,0,152.2397289
8,0,1,166.7616766
8,0,2,179.2278921
8,0,3,188.7459777
8,0,4,194.6896213
8,0,5,196.7076941
